sampno,sequence,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner,age_nrel_agebin
5232,1,,2,6,-1,8,1,14,1,1,4,-1,8,0,1,3,4,-1,-1,0,3
5233,1,,1,2,-1,6,1,0,1,1,1,-1,45,225,5,2,4,-1,-1,0,3
5234,1,,2,4,-1,8,1,2,1,1,1,-1,25,125,5,3,4,-1,-1,0,3
5234,2,,3,4,-1,6,4,0,2,1,1,-1,0,0,5,3,4,-1,-1,0,3
5235,1,,2,7,White and asian,7,1,0,1,1,1,-1,13,100,6,2,4,-1,-1,0,4
5237,1,,2,6,-1,4,1,2,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5237,2,,1,6,-1,6,1,0,1,1,1,-1,40,200,5,2,4,-1,-1,0,6
5238,1,,1,4,-1,8,1,0,1,1,1,-1,10,150,5,2,4,-1,-1,0,3
5241,1,,1,7,persian,7,1,1,2,1,1,-1,14,50,3,2,2,1,11,0,3
5241,2,,2,6,-1,8,1,0,1,1,1,-1,11,120,5,2,4,-1,-1,0,3
5241,3,,1,6,-1,2,3,2,1,1,2,-1,50,100,5,3,4,-1,-1,0,3
5242,1,,3,6,-1,8,1,0,1,1,1,-1,1,50,5,2,4,-1,-1,0,3
5243,1,,2,4,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5244,1,,2,2,-1,6,1,0,2,1,1,-1,20,200,5,2,4,-1,-1,0,4
5244,2,,1,2,-1,6,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
5246,1,,2,6,-1,3,2,0,2,1,1,-1,4,40,5,3,4,-1,-1,0,3
5250,1,,2,6,-1,8,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
5250,2,,1,6,-1,5,1,0,1,1,1,-1,30,500,5,2,4,-1,-1,0,3
5251,1,,2,2,-1,6,1,2,1,1,1,-1,7,80,5,1,4,-1,-1,0,3
5251,2,,1,2,-1,8,1,0,1,1,1,-1,10,100,5,1,4,-1,-1,0,4
5252,1,,2,6,-1,6,1,0,1,1,1,-1,2,10,5,2,4,-1,-1,0,3
5253,1,,1,6,-1,6,1,4,1,2,-1,-1,-1,-1,-1,-1,1,4,10,0,2
5253,2,,2,6,-1,6,1,2,2,2,-1,-1,-1,-1,-1,-1,2,1,20,0,2
